web development,0.28
augmented reality,0.15384615384615385
.Net,0.18181818181818182
javascript,0.16666666666666666
artificial intelligence,0.13043478260869565
sql,0.4444444444444444
game development,0.3181818181818182
ruby,0.3333333333333333
C,0.2857142857142857
uml,0.21428571428571427
object oriented design,0.12
Ajax,0.2
user experience,0.47368421052631576
XML,0.2222222222222222
software engineering,0.125
android development,0.2222222222222222
Entrepreneurship,0.35714285714285715
project management,0.047619047619047616
graphic design,0.2
computer science,0.16666666666666666
